hospital_id,city_specialization,hospital_name,city,province,city_encoded,province_encoded,specialization,specialization_count,fees_min,fees_max,contact_person_available,phone_available,website_available,contact_completeness,price_category,reputation_score,recommendation_priority
1,"Rawalpindi -> Cardiology, General, Gynaecology, Medical, Multi-Disciplinary, Obstetrics, Radiology, Surgery, Tourism, Urology, and",Pak Emirates Military Hospital (PEMH),Rawalpindi,Punjab,5,2,Multi-Disciplinary,1,50000,60000,0,1,0,33,MEDIUM,70,3
2,"Rawalpindi -> Cardiology, General, Gynaecology, Medical, Multi-Disciplinary, Obstetrics, Radiology, Surgery, Tourism, Urology, and",MedAsk Tours,Rawalpindi,Punjab,5,2,Medical Tourism,1,45000,60000,1,1,1,100,MEDIUM,75,2
3,"Karachi -> &, Bone, Cancer, Cardiology, Care, Cord, Cosmetic, Dental, Ear,Nose, General, Gynaecology, Hematology, Marrow, Medicine, Multi-Disciplinary, Obstetrics, Oncology, Orthopedic, Orthopedics, Physiotherapy, Renal, Reproductive, Spinal, Surgery, Tertiary, Throat, Transplant, Treatment, and, diseases, related",Agha Khan University Hospital,Karachi,Sindh,1,3,Cardiology Dental Oncology Orthopedics Cosmetic Surgery,5,40000,60000,1,1,1,100,MEDIUM,95,1
4,"Lahore -> Cancer, Cardiology, Cosmetic, Gastroenlerology, General, Gynaecology, Hip, Knee, Medicines, Neurosurgery, Obstetrics, Orthopedics, Otology, Pulmonology, Replacement, Surgery, Transplant, Treatment, and",Shoukat Khanum M Hospital,Lahore,Punjab,2,2,Cancer Treatment,1,30000,60000,1,1,1,100,MEDIUM,100,1
5,"Peshawar -> &, Cancer, Cardiology, Clinic, Cosmetic, Dental, Dentistry, Ear,, General, Gynaecology, Neurosurgery, Nose, Obesity, Obstetrics, Ophthaimology, Orthopedics, Pediatrics, Pulmonology, Rediology, Surgery, Throat, Transplant, Treatment, Urology",Shoukat Khanum M Hospital,Peshawar,KPK,4,4,Cancer Treatment,1,25000,40000,1,1,1,100,LOW,100,1
6,"Islamabad -> Cardiology, Cosmetic, Dental, General, Gynaecology, Neurosurgery, Obstetrics, Oncology, Orthopedics, Pulmonology, Surgery, Transplant, and",Shifa International,Islamabad,Federal Capital,3,1,Cardiology Dental Oncology Orthopedics Cosmetic Surgery Pulmonology Transplant,6,50000,80000,1,1,1,100,HIGH,95,1
7,"Islamabad -> Cardiology, Cosmetic, Dental, General, Gynaecology, Neurosurgery, Obstetrics, Oncology, Orthopedics, Pulmonology, Surgery, Transplant, and",E-Shifa,Islamabad,Federal Capital,3,1,Cardiology Dental Oncology Orthopedics Cosmetic Surgery Pulmonology Transplant,6,70000,100000,1,1,1,100,PREMIUM,90,2
8,"Islamabad -> Cardiology, Cosmetic, Dental, General, Gynaecology, Neurosurgery, Obstetrics, Oncology, Orthopedics, Pulmonology, Surgery, Transplant, and",All Medical Centre,Islamabad,Federal Capital,3,1,General Surgery Neurosurgery Obstetrics and Gynaecology Orthopedics Transplant,5,100000,150000,1,1,1,100,PREMIUM,85,3
9,"Islamabad -> Cardiology, Cosmetic, Dental, General, Gynaecology, Neurosurgery, Obstetrics, Oncology, Orthopedics, Pulmonology, Surgery, Transplant, and",Quaid-e-Azam International Hospital,Islamabad,Federal Capital,3,1,Cardiology Dental Orthopedics Transplant,4,65000,90000,1,1,1,100,HIGH,80,2
10,"Peshawar -> &, Cancer, Cardiology, Clinic, Cosmetic, Dental, Dentistry, Ear,, General, Gynaecology, Neurosurgery, Nose, Obesity, Obstetrics, Ophthaimology, Orthopedics, Pediatrics, Pulmonology, Rediology, Surgery, Throat, Transplant, Treatment, Urology",Rehman Medical Institute,Peshawar,KPK,4,4,Cardiology Dental Orthopedics Transplant,4,85000,95000,1,1,1,100,HIGH,80,2
11,"Lahore -> Cancer, Cardiology, Cosmetic, Gastroenlerology, General, Gynaecology, Hip, Knee, Medicines, Neurosurgery, Obstetrics, Orthopedics, Otology, Pulmonology, Replacement, Surgery, Transplant, Treatment, and",Hameed Latif Hospital,Lahore,Punjab,2,2,Cardiology Neurosurgery Obstetrics and Gynaecology Orthopedics Cosmetic Surgery,5,30000,45000,1,1,1,100,LOW,85,2
12,,Hearts International,Rawalpindi,Punjab,5,2,Cardiology General Surgery Obstetrics and Gynaecology Urology Radiology,5,28000,65000,1,0,0,33,MEDIUM,70,3
13,"Lahore -> Cancer, Cardiology, Cosmetic, Gastroenlerology, General, Gynaecology, Hip, Knee, Medicines, Neurosurgery, Obstetrics, Orthopedics, Otology, Pulmonology, Replacement, Surgery, Transplant, Treatment, and",Doctors Hospital,Lahore,Punjab,2,2,Cardiology General Surgery Pulmonology Gastroenlerology Medicines,5,65000,80000,1,1,1,100,HIGH,80,2
14,"Islamabad -> Cardiology, Cosmetic, Dental, General, Gynaecology, Neurosurgery, Obstetrics, Oncology, Orthopedics, Pulmonology, Surgery, Transplant, and",Kulsum International Hospital,Islamabad,Federal Capital,3,1,Cardiology General Surgery Pulmonology,3,35000,70000,1,1,1,100,MEDIUM,75,2
15,"Islamabad -> Cardiology, Cosmetic, Dental, General, Gynaecology, Neurosurgery, Obstetrics, Oncology, Orthopedics, Pulmonology, Surgery, Transplant, and",Medikay Cardiac Center,Islamabad,Federal Capital,3,1,Cardiology,1,55000,70000,1,1,1,100,MEDIUM,80,2
16,"Lahore -> Cancer, Cardiology, Cosmetic, Gastroenlerology, General, Gynaecology, Hip, Knee, Medicines, Neurosurgery, Obstetrics, Orthopedics, Otology, Pulmonology, Replacement, Surgery, Transplant, Treatment, and",Bahria International Hospital,Lahore,Punjab,2,2,Cardiology Transplant Orthopedics Otology,4,80000,100000,1,1,1,100,PREMIUM,85,2
17,"Peshawar -> &, Cancer, Cardiology, Clinic, Cosmetic, Dental, Dentistry, Ear,, General, Gynaecology, Neurosurgery, Nose, Obesity, Obstetrics, Ophthaimology, Orthopedics, Pediatrics, Pulmonology, Rediology, Surgery, Throat, Transplant, Treatment, Urology",MMC General Hospital,Peshawar,KPK,4,4,Cardiology Orthopedics Pediatrics Urology,4,150000,200000,1,1,1,100,PREMIUM,75,3
18,"Peshawar -> &, Cancer, Cardiology, Clinic, Cosmetic, Dental, Dentistry, Ear,, General, Gynaecology, Neurosurgery, Nose, Obesity, Obstetrics, Ophthaimology, Orthopedics, Pediatrics, Pulmonology, Rediology, Surgery, Throat, Transplant, Treatment, Urology",Northwest General Hospital,Peshawar,KPK,4,4,Cardiology Rediology Pulmonology,3,65000,90000,1,1,1,100,HIGH,75,2
19,"Karachi -> &, Bone, Cancer, Cardiology, Care, Cord, Cosmetic, Dental, Ear,Nose, General, Gynaecology, Hematology, Marrow, Medicine, Multi-Disciplinary, Obstetrics, Oncology, Orthopedic, Orthopedics, Physiotherapy, Renal, Reproductive, Spinal, Surgery, Tertiary, Throat, Transplant, Treatment, and, diseases, related",South City Hospital,Karachi,Sindh,1,3,Cardiology Orthopedics Obstetrics and Gynaecology General Surgery,4,65000,90000,1,1,1,100,HIGH,80,2
20,"Karachi -> &, Bone, Cancer, Cardiology, Care, Cord, Cosmetic, Dental, Ear,Nose, General, Gynaecology, Hematology, Marrow, Medicine, Multi-Disciplinary, Obstetrics, Oncology, Orthopedic, Orthopedics, Physiotherapy, Renal, Reproductive, Spinal, Surgery, Tertiary, Throat, Transplant, Treatment, and, diseases, related",Tabba Heart Institute,Karachi,Sindh,1,3,Cardiology,1,45000,90000,1,1,1,100,HIGH,90,1
21,"Peshawar -> &, Cancer, Cardiology, Clinic, Cosmetic, Dental, Dentistry, Ear,, General, Gynaecology, Neurosurgery, Nose, Obesity, Obstetrics, Ophthaimology, Orthopedics, Pediatrics, Pulmonology, Rediology, Surgery, Throat, Transplant, Treatment, Urology",Irfan General Hospital,Peshawar,KPK,4,4,"Orthopedics General Surgery Neurosurgery Obstetrics & Gynaecology Ear, Nose & Throat",5,75000,90000,1,1,1,100,HIGH,80,2
22,"Karachi -> &, Bone, Cancer, Cardiology, Care, Cord, Cosmetic, Dental, Ear,Nose, General, Gynaecology, Hematology, Marrow, Medicine, Multi-Disciplinary, Obstetrics, Oncology, Orthopedic, Orthopedics, Physiotherapy, Renal, Reproductive, Spinal, Surgery, Tertiary, Throat, Transplant, Treatment, and, diseases, related",Dr. Zia uddin Hospital,Karachi,Sindh,1,3,"Orthopedics Obstetrics & Gynaecology Ear,Nose & Throat Physiotherapy",4,150000,190000,1,1,1,100,PREMIUM,85,2
23,"Peshawar -> &, Cancer, Cardiology, Clinic, Cosmetic, Dental, Dentistry, Ear,, General, Gynaecology, Neurosurgery, Nose, Obesity, Obstetrics, Ophthaimology, Orthopedics, Pediatrics, Pulmonology, Rediology, Surgery, Throat, Transplant, Treatment, Urology",Peshawar Institute of Medical Sciences,Peshawar,KPK,4,4,General Surgery,1,35000,90000,1,1,1,100,HIGH,70,3
24,"Islamabad -> Cardiology, Cosmetic, Dental, General, Gynaecology, Neurosurgery, Obstetrics, Oncology, Orthopedics, Pulmonology, Surgery, Transplant, and",Hair Transplant Institute,Islamabad,Federal Capital,3,1,Cosmetic Surgery,1,35000,90000,1,1,1,100,HIGH,75,2
25,"Peshawar -> &, Cancer, Cardiology, Clinic, Cosmetic, Dental, Dentistry, Ear,, General, Gynaecology, Neurosurgery, Nose, Obesity, Obstetrics, Ophthaimology, Orthopedics, Pediatrics, Pulmonology, Rediology, Surgery, Throat, Transplant, Treatment, Urology",Cosmetic Expert Clinic,Peshawar,KPK,4,4,Cosmetic Surgery,1,55000,75000,1,1,1,100,MEDIUM,75,2
26,"Karachi -> &, Bone, Cancer, Cardiology, Care, Cord, Cosmetic, Dental, Ear,Nose, General, Gynaecology, Hematology, Marrow, Medicine, Multi-Disciplinary, Obstetrics, Oncology, Orthopedic, Orthopedics, Physiotherapy, Renal, Reproductive, Spinal, Surgery, Tertiary, Throat, Transplant, Treatment, and, diseases, related",Concept Fertility Clinic,Karachi,Sindh,1,3,Reproductive Medicine,1,55000,75000,1,1,1,100,MEDIUM,80,2
27,"Karachi -> &, Bone, Cancer, Cardiology, Care, Cord, Cosmetic, Dental, Ear,Nose, General, Gynaecology, Hematology, Marrow, Medicine, Multi-Disciplinary, Obstetrics, Oncology, Orthopedic, Orthopedics, Physiotherapy, Renal, Reproductive, Spinal, Surgery, Tertiary, Throat, Transplant, Treatment, and, diseases, related",NIBD & BMT,Karachi,Sindh,1,3,Bone Marrow Transplant Hematology related diseases Cancer Treatment,3,100000,175000,1,1,1,100,PREMIUM,90,1
28,"Peshawar -> &, Cancer, Cardiology, Clinic, Cosmetic, Dental, Dentistry, Ear,, General, Gynaecology, Neurosurgery, Nose, Obesity, Obstetrics, Ophthaimology, Orthopedics, Pediatrics, Pulmonology, Rediology, Surgery, Throat, Transplant, Treatment, Urology",Prime Teaching Hospital,Peshawar,KPK,4,4,Neurosurgery Obesity Clinic Urology Ophthaimology Dentistry,5,70000,90000,1,1,1,100,HIGH,80,2
29,"Lahore -> Cancer, Cardiology, Cosmetic, Gastroenlerology, General, Gynaecology, Hip, Knee, Medicines, Neurosurgery, Obstetrics, Orthopedics, Otology, Pulmonology, Replacement, Surgery, Transplant, Treatment, and",Horizon,Lahore,Punjab,2,2,Hip Replacement Knee Replacement,2,70000,90000,1,1,1,100,HIGH,85,2
30,"Karachi -> &, Bone, Cancer, Cardiology, Care, Cord, Cosmetic, Dental, Ear,Nose, General, Gynaecology, Hematology, Marrow, Medicine, Multi-Disciplinary, Obstetrics, Oncology, Orthopedic, Orthopedics, Physiotherapy, Renal, Reproductive, Spinal, Surgery, Tertiary, Throat, Transplant, Treatment, and, diseases, related",Dr. Zia uddin Hospital,Karachi,Sindh,1,3,Multi-Disciplinary Tertiary Care Renal Transplant Spinal Cord Orthopedic Surgery,5,120000,190000,1,1,1,100,PREMIUM,90,1
